Reaction,Dataset,Reference,Reference_in_kcal_mol,TAE_in_kcal_mol,Number_of_atoms,Stoichiometry,Subset
TAE-PTComp_0134_s_k_11,TAE-PTComp,0.113835503837627,71.4328571428571,1000.06,14,"-0.0714285714285714,s_k_11,0.428571428571429,H,0.142857142857143,C,0.142857142857143,Cl,0.285714285714286,K",s_k
TAE-PTComp_0135_s_k_12,TAE-PTComp,0.106790419539166,67.012,1072.192,16,"-0.0625,s_k_12,0.5,H,0.25,N,0.25,K",s_k
TAE-PTComp_0136_s_k_13,TAE-PTComp,0.0198536843106647,12.458375,99.667,8,"-0.125,s_k_13,1,K",s_k
TAE-PTComp_0137_s_k_14,TAE-PTComp,0.107290491670298,67.3258,336.629,5,"-0.2,s_k_14,0.6,H,0.2,C,0.2,K",s_k
TAE-PTComp_0138_s_k_15,TAE-PTComp,0.0895747432083357,56.209,224.836,4,"-0.25,s_k_15,0.5,Cl,0.5,K",s_k
TAE-PTComp_0139_s_k_16,TAE-PTComp,0.0957905856158526,60.1095,480.876,8,"-0.125,s_k_16,0.5,Cl,0.5,K",s_k
TAE-PTComp_0140_s_k_17,TAE-PTComp,0.167493306010337,105.103636363636,1156.14,11,"-0.0909090909090909,s_k_17,0.454545454545455,H,0.454545454545455,C,0.0909090909090909,K",s_k
TAE-PTComp_0141_s_k_18,TAE-PTComp,0.119357560476399,74.898,823.878,11,"-0.0909090909090909,s_k_18,0.454545454545455,H,0.181818181818182,C,0.0909090909090909,N,0.0909090909090909,O,0.181818181818182,K",s_k
TAE-PTComp_0142_s_k_19,TAE-PTComp,0.149360049573405,93.7248461538462,1218.423,13,"-0.0769230769230769,s_k_19,0.230769230769231,H,0.153846153846154,B,0.153846153846154,C,0.153846153846154,N,0.0769230769230769,O,0.230769230769231,K",s_k
TAE-PTComp_0143_s_k_20,TAE-PTComp,0.157187932204428,98.6369166666667,1183.643,12,"-0.0833333333333333,s_k_20,0.25,H,0.0833333333333333,B,0.166666666666667,C,0.166666666666667,N,0.166666666666667,O,0.166666666666667,K",s_k
TAE-PTComp_0144_s_k_21,TAE-PTComp,0.182373660845306,114.4412,572.206,5,"-0.2,s_k_21,0.4,H,0.2,C_cation,0.2,C,0.2,K",s_k
TAE-PTComp_0145_s_k_22,TAE-PTComp,0.166372673061715,104.400428571429,730.803,7,"-0.142857142857143,s_k_22,0.571428571428571,H,0.142857142857143,C_cation,0.142857142857143,C,0.142857142857143,K",s_k
TAE-PTComp_0146_s_k_23,TAE-PTComp,0.162460609189655,101.945571428571,713.619,7,"-0.142857142857143,s_k_23,0.428571428571429,H,0.285714285714286,O,0.142857142857143,K",s_k
TAE-PTComp_0147_s_k_24,TAE-PTComp,0.166234621645745,104.3138,521.569,5,"-0.2,s_k_24,0.2,H,0.4,F,0.2,K",s_k
TAE-PTComp_0148_s_k_25,TAE-PTComp,0.165629371819729,103.934,311.802,3,"-0.333333333333333,s_k_25,0.333333333333333,H,0.333333333333333,Cl_cation,0.333333333333333,K",s_k
TAE-PTComp_0149_s_k_26,TAE-PTComp,0.196088463213672,123.047368421053,2337.9,19,"-0.0526315789473684,s_k_26,0.421052631578947,H,0.0526315789473684,C_cation,0.473684210526316,C,0.0526315789473684,K",s_k
TAE-PTComp_0150_s_k_27,TAE-PTComp,0.137756251521525,86.4433529411765,1469.537,17,"-0.0588235294117647,s_k_27,0.647058823529412,H,0.235294117647059,N,0.0588235294117647,K",s_k
TAE-PTComp_0151_s_k_28,TAE-PTComp,0.18833566910383,118.182416666667,1418.189,12,"-0.0833333333333333,s_k_28,0.416666666666667,H,0.0833333333333333,C_cation,0.333333333333333,C,0.0833333333333333,N,0.0833333333333333,K",s_k
TAE-PTComp_0152_s_k_29,TAE-PTComp,0.111466659080833,69.9463846153846,909.303,13,"-0.0769230769230769,s_k_29,0.615384615384615,H,0.0769230769230769,S_cation,0.230769230769231,S,0.0769230769230769,K",s_k
TAE-PTComp_0153_s_k_30,TAE-PTComp,0.11466281064111,71.952,647.568,9,"-0.111111111111111,s_k_30,0.666666666666667,H,0.111111111111111,P_cation,0.111111111111111,P,0.111111111111111,K",s_k
TAE-PTComp_0154_s_ca_1,TAE-PTComp,0.171027641098989,107.321465116279,4614.823,43,"-0.0232558139534884,s_ca_1,0.488372093023256,H,0.348837209302326,C,0.0232558139534884,O_anion,0.116279069767442,O,0.0232558139534884,Ca",s_ca
TAE-PTComp_0155_s_ca_2,TAE-PTComp,0.114546477736163,71.879,287.516,4,"-0.25,s_ca_2,0.25,Cl_anion,0.5,Cl,0.25,Ca",s_ca
TAE-PTComp_0156_s_ca_3,TAE-PTComp,0.0707327966103931,44.3855,177.542,4,"-0.25,s_ca_3,0.25,H_anion,0.5,H,0.25,Ca",s_ca
TAE-PTComp_0157_s_ca_4,TAE-PTComp,0.128102490302332,80.3855263157895,1527.325,19,"-0.0526315789473684,s_ca_4,0.368421052631579,H,0.105263157894737,C,0.105263157894737,O,0.105263157894737,F,0.0526315789473684,P,0.0526315789473684,Cl_anion,0.210526315789474,Ca",s_ca
TAE-PTComp_0158_s_ca_5,TAE-PTComp,0.0024031509679619,1.508,3.016,2,"-0.5,s_ca_5,1,Ca",s_ca
TAE-PTComp_0159_s_ca_6,TAE-PTComp,0.161490788886177,101.337,608.022,6,"-0.166666666666667,s_ca_6,0.666666666666667,F,0.333333333333333,Ca",s_ca
TAE-PTComp_0160_s_ca_7,TAE-PTComp,0.0750543781090346,47.0973333333333,565.168,12,"-0.0833333333333333,s_ca_7,0.666666666666667,H,0.333333333333333,Ca",s_ca
TAE-PTComp_0161_s_ca_8,TAE-PTComp,0.159320772434416,99.9752941176471,1699.58,17,"-0.0588235294117647,s_ca_8,0.294117647058824,H,0.117647058823529,C,0.0588235294117647,N,0.294117647058824,O,0.235294117647059,Ca",s_ca
TAE-PTComp_0162_s_ca_9,TAE-PTComp,0.135800140909794,85.215875,681.727,8,"-0.125,s_ca_9,0.5,S,0.5,Ca",s_ca
TAE-PTComp_0163_s_ca_10,TAE-PTComp,0.138324073586718,86.7996666666667,781.197,9,"-0.111111111111111,s_ca_10,0.444444444444444,H,0.222222222222222,O,0.222222222222222,F,0.111111111111111,Ca",s_ca
TAE-PTComp_0164_s_ca_11,TAE-PTComp,0.124825207008944,78.329,861.619,11,"-0.0909090909090909,s_ca_11,0.545454545454545,H,0.181818181818182,N,0.181818181818182,Cl,0.0909090909090909,Ca",s_ca
TAE-PTComp_0165_s_ca_12,TAE-PTComp,0.122228167866069,76.6993333333333,460.196,6,"-0.166666666666667,s_ca_12,0.5,H,0.166666666666667,C,0.166666666666667,Cl,0.166666666666667,Ca",s_ca
TAE-PTComp_0166_s_ca_13,TAE-PTComp,0.176136368562438,110.52724,2763.181,25,"-0.04,s_ca_13,0.48,H,0.48,C,0.04,Ca",s_ca
TAE-PTComp_0167_s_ca_14,TAE-PTComp,0.144459439121634,90.6496666666667,271.949,3,"-0.333333333333333,s_ca_14,0.666666666666667,F,0.333333333333333,Ca",s_ca
TAE-PTComp_0168_s_ca_15,TAE-PTComp,0.106898518836686,67.0798333333333,402.479,6,"-0.166666666666667,s_ca_15,0.666666666666667,H,0.166666666666667,C,0.166666666666667,Ca",s_ca
TAE-PTComp_0169_s_ca_16,TAE-PTComp,0.12409604581781,77.8714444444444,700.843,9,"-0.111111111111111,s_ca_16,0.666666666666667,H,0.222222222222222,C,0.111111111111111,Ca",s_ca
TAE-PTComp_0170_s_ca_17,TAE-PTComp,0.124142348792915,77.9005,467.403,6,"-0.166666666666667,s_ca_17,0.5,H,0.166666666666667,N,0.166666666666667,O,0.166666666666667,Ca",s_ca
TAE-PTComp_0171_s_ca_18,TAE-PTComp,0.19624659018648,123.146594594595,4556.424,37,"-0.027027027027027,s_ca_18,0.324324324324324,H,0.540540540540541,C,0.108108108108108,N,0.027027027027027,Ca",s_ca
TAE-PTComp_0172_s_ca_19,TAE-PTComp,0.148649889987692,93.2792142857143,1305.909,14,"-0.0714285714285714,s_ca_19,0.357142857142857,H,0.142857142857143,C,0.0714285714285714,N,0.142857142857143,O,0.142857142857143,F,0.0714285714285714,S,0.0714285714285714,Ca",s_ca
TAE-PTComp_0173_s_ca_20,TAE-PTComp,0.143455566797825,90.0197272727273,990.217,11,"-0.0909090909090909,s_ca_20,0.363636363636364,H,0.181818181818182,C,0.181818181818182,N,0.0909090909090909,O,0.181818181818182,Ca",s_ca
TAE-PTComp_0174_s_ca_21,TAE-PTComp,0.133080062455922,83.509,1085.617,13,"-0.0769230769230769,s_ca_21,0.461538461538462,H,0.153846153846154,C,0.153846153846154,N,0.0769230769230769,O,0.153846153846154,Ca",s_ca
TAE-PTComp_0175_s_ca_22,TAE-PTComp,0.141833527670359,89.0018823529412,1513.032,17,"-0.0588235294117647,s_ca_22,0.294117647058824,H,0.0588235294117647,C,0.0588235294117647,N,0.117647058823529,O,0.0588235294117647,F,0.0588235294117647,S,0.0588235294117647,Cl,0.294117647058824,Ca",s_ca
TAE-PTComp_0176_s_ca_23,TAE-PTComp,0.081315106957045,51.026,102.052,2,"-0.5,s_ca_23,0.5,Cl,0.5,Ca_cation",s_ca
TAE-PTComp_0177_s_ca_24,TAE-PTComp,0.171173945839855,107.413272727273,1181.546,11,"-0.0909090909090909,s_ca_24,0.454545454545455,H,0.454545454545455,C,0.0909090909090909,Ca_cation",s_ca
TAE-PTComp_0178_s_ca_25,TAE-PTComp,0.133537107348237,83.7958,837.958,10,"-0.1,s_ca_25,0.2,H,0.1,C,0.1,N,0.2,Si,0.2,S,0.1,Ca_cation,0.1,Ca",s_ca
TAE-PTComp_0179_s_rb_1,TAE-PTComp,0.0987533562886659,61.9686666666667,743.624,12,"-0.0833333333333333,s_rb_1,0.416666666666667,H,0.0833333333333333,C,0.0833333333333333,N,0.0833333333333333,O_anion,0.0833333333333333,O,0.25,Rb",s_rb
TAE-PTComp_0180_s_rb_2,TAE-PTComp,0.137313771136829,86.1656923076923,1120.154,13,"-0.0769230769230769,s_rb_2,0.230769230769231,H,0.230769230769231,B,0.0769230769230769,C_anion,0.0769230769230769,C,0.153846153846154,N,0.230769230769231,Rb",s_rb
TAE-PTComp_0181_s_rb_3,TAE-PTComp,0.172515414694713,108.255057142857,3788.927,35,"-0.0285714285714286,s_rb_3,0.285714285714286,H,0.342857142857143,C,0.114285714285714,N,0.142857142857143,O,0.0571428571428571,S,0.0571428571428571,Rb",s_rb
TAE-PTComp_0182_s_rb_4,TAE-PTComp,0.117821328690514,73.934,1035.076,14,"-0.0714285714285714,s_rb_4,0.285714285714286,H,0.0714285714285714,C,0.142857142857143,N,0.214285714285714,O,0.285714285714286,Rb",s_rb
TAE-PTComp_0183_s_rb_5,TAE-PTComp,0.148625644480105,93.264,1212.432,13,"-0.0769230769230769,s_rb_5,0.230769230769231,H,0.153846153846154,B,0.153846153846154,C,0.153846153846154,N,0.0769230769230769,O,0.230769230769231,Rb",s_rb
TAE-PTComp_0184_s_rb_6,TAE-PTComp,0.1565446484241,98.23325,1178.799,12,"-0.0833333333333333,s_rb_6,0.25,H,0.0833333333333333,B,0.166666666666667,C,0.166666666666667,N,0.166666666666667,O,0.166666666666667,Rb",s_rb
TAE-PTComp_0185_s_rb_7,TAE-PTComp,0.155650239617224,97.672,586.032,6,"-0.166666666666667,s_rb_7,0.166666666666667,C,0.5,O,0.333333333333333,Rb",s_rb
TAE-PTComp_0186_s_rb_8,TAE-PTComp,0.112442923838477,70.559,282.236,4,"-0.25,s_rb_8,0.5,F,0.5,Rb",s_rb
TAE-PTComp_0187_s_rb_9,TAE-PTComp,0.061650065216561,38.686,116.058,3,"-0.333333333333333,s_rb_9,0.333333333333333,O,0.666666666666667,Rb",s_rb
TAE-PTComp_0188_s_rb_10,TAE-PTComp,0.0814015598350369,51.08025,204.321,4,"-0.25,s_rb_10,0.5,O,0.5,Rb",s_rb
TAE-PTComp_0189_s_rb_11,TAE-PTComp,0.0833437615871613,52.299,209.196,4,"-0.25,s_rb_11,0.5,S,0.5,Rb",s_rb
TAE-PTComp_0190_s_rb_12,TAE-PTComp,0.157327837130641,98.7247083333333,2369.393,24,"-0.0416666666666667,s_rb_12,0.333333333333333,H,0.333333333333333,C,0.166666666666667,N,0.166666666666667,Rb",s_rb
TAE-PTComp_0191_s_rb_13,TAE-PTComp,0.140458155888414,88.1388235294118,1498.36,17,"-0.0588235294117647,s_rb_13,0.294117647058824,H,0.117647058823529,C,0.0588235294117647,N,0.0588235294117647,O,0.235294117647059,F,0.235294117647059,Rb",s_rb
TAE-PTComp_0192_s_rb_14,TAE-PTComp,0.0543601354400744,34.1115,272.892,8,"-0.125,s_rb_14,0.5,H,0.5,Rb",s_rb
TAE-PTComp_0193_s_rb_15,TAE-PTComp,0.112880481261784,70.8335714285714,991.67,14,"-0.0714285714285714,s_rb_15,0.428571428571429,H,0.142857142857143,C,0.142857142857143,Cl,0.285714285714286,Rb",s_rb
TAE-PTComp_0194_s_rb_16,TAE-PTComp,0.115319374433418,72.364,1447.28,20,"-0.05,s_rb_16,0.6,H,0.2,C,0.2,Rb",s_rb
TAE-PTComp_0195_s_rb_17,TAE-PTComp,0.105469821947812,66.1833125,1058.933,16,"-0.0625,s_rb_17,0.5,H,0.25,N,0.25,Rb",s_rb
TAE-PTComp_0196_s_rb_18,TAE-PTComp,0.0177833968429899,11.15925,89.274,8,"-0.125,s_rb_18,1,Rb",s_rb
TAE-PTComp_0197_s_rb_19,TAE-PTComp,0.106915995332452,67.0908,335.454,5,"-0.2,s_rb_19,0.6,H,0.2,C,0.2,Rb",s_rb
TAE-PTComp_0198_s_rb_20,TAE-PTComp,0.0885118110494295,55.542,222.168,4,"-0.25,s_rb_20,0.5,Cl,0.5,Rb",s_rb
TAE-PTComp_0199_s_rb_21,TAE-PTComp,0.0939380239445955,58.947,117.894,2,"-0.5,s_rb_21,0.5,F,0.5,Rb",s_rb
TAE-PTComp_0200_s_rb_22,TAE-PTComp,0.18931506998738,118.797,1544.361,13,"-0.0769230769230769,s_rb_22,0.461538461538462,H,0.0769230769230769,C_cation,0.384615384615385,C,0.0769230769230769,Rb",s_rb
TAE-PTComp_0201_s_rb_23,TAE-PTComp,0.183115960394959,114.907,574.535,5,"-0.2,s_rb_23,0.4,H,0.2,C_cation,0.2,C,0.2,Rb",s_rb
TAE-PTComp_0202_s_rb_24,TAE-PTComp,0.166883536151152,104.721,733.047,7,"-0.142857142857143,s_rb_24,0.571428571428571,H,0.142857142857143,C_cation,0.142857142857143,C,0.142857142857143,Rb",s_rb
TAE-PTComp_0203_s_rb_25,TAE-PTComp,0.162439209398921,101.932142857143,713.525,7,"-0.142857142857143,s_rb_25,0.428571428571429,H,0.285714285714286,O,0.142857142857143,Rb",s_rb
TAE-PTComp_0204_s_rb_26,TAE-PTComp,0.166490872756918,104.4746,522.373,5,"-0.2,s_rb_26,0.2,H,0.4,F,0.2,Rb",s_rb
TAE-PTComp_0205_s_rb_27,TAE-PTComp,0.114867854026087,72.0806666666667,648.726,9,"-0.111111111111111,s_rb_27,0.666666666666667,H,0.111111111111111,P_cation,0.111111111111111,P,0.111111111111111,Rb",s_rb
TAE-PTComp_0206_s_rb_28,TAE-PTComp,0.167221910856411,104.933333333333,314.8,3,"-0.333333333333333,s_rb_28,0.333333333333333,H,0.333333333333333,Cl_cation,0.333333333333333,Rb",s_rb
TAE-PTComp_0207_s_rb_29,TAE-PTComp,0.196254281636946,123.151421052632,2339.877,19,"-0.0526315789473684,s_rb_29,0.421052631578947,H,0.0526315789473684,C_cation,0.473684210526316,C,0.0526315789473684,Rb",s_rb
TAE-PTComp_0208_s_rb_30,TAE-PTComp,0.188489982843042,118.27925,1419.351,12,"-0.0833333333333333,s_rb_30,0.416666666666667,H,0.0833333333333333,C_cation,0.333333333333333,C,0.0833333333333333,N,0.0833333333333333,Rb",s_rb
TAE-PTComp_0209_s_rb_31,TAE-PTComp,0.111421670486402,69.9181538461538,908.936,13,"-0.0769230769230769,s_rb_31,0.615384615384615,H,0.0769230769230769,S_cation,0.230769230769231,S,0.0769230769230769,Rb",s_rb
TAE-PTComp_0210_s_sr_1,TAE-PTComp,0.117085755816403,73.4724210526316,1395.976,19,"-0.0526315789473684,s_sr_1,0.368421052631579,H,0.105263157894737,C,0.105263157894737,O,0.105263157894737,F,0.0526315789473684,P,0.0526315789473684,Cl_anion,0.210526315789474,Sr",s_sr
TAE-PTComp_0211_s_sr_2,TAE-PTComp,0.126967510583692,79.6733157894737,1513.793,19,"-0.0526315789473684,s_sr_2,0.368421052631579,H,0.105263157894737,C,0.105263157894737,O,0.105263157894737,F,0.0526315789473684,P,0.0526315789473684,Cl_anion,0.210526315789474,Sr",s_sr
TAE-PTComp_0212_s_sr_3,TAE-PTComp,0.170737790939831,107.139581395349,4607.002,43,"-0.0232558139534884,s_sr_3,0.488372093023256,H,0.348837209302326,C,0.0232558139534884,O_anion,0.116279069767442,O,0.0232558139534884,Sr",s_sr
TAE-PTComp_0213_s_sr_4,TAE-PTComp,0.112896303447486,70.8435,283.374,4,"-0.25,s_sr_4,0.25,Cl_anion,0.5,Cl,0.25,Sr",s_sr
TAE-PTComp_0214_s_sr_5,TAE-PTComp,0.0674734832700588,42.34025,169.361,4,"-0.25,s_sr_5,0.25,H_anion,0.5,H,0.25,Sr",s_sr
TAE-PTComp_0215_s_sr_6,TAE-PTComp,0.148036467262875,92.8942857142857,1300.52,14,"-0.0714285714285714,s_sr_6,0.357142857142857,H,0.142857142857143,C,0.0714285714285714,N,0.142857142857143,O,0.142857142857143,F,0.0714285714285714,S,0.0714285714285714,Sr",s_sr
TAE-PTComp_0216_s_sr_7,TAE-PTComp,0.142373221675951,89.3405454545454,982.746,11,"-0.0909090909090909,s_sr_7,0.363636363636364,H,0.181818181818182,C,0.181818181818182,N,0.0909090909090909,O,0.181818181818182,Sr",s_sr
TAE-PTComp_0217_s_sr_8,TAE-PTComp,0.127722006668396,80.1467692307692,1041.908,13,"-0.0769230769230769,s_sr_8,0.461538461538462,H,0.153846153846154,C,0.153846153846154,N,0.0769230769230769,O,0.153846153846154,Sr",s_sr
TAE-PTComp_0218_s_sr_9,TAE-PTComp,0.124656019656314,78.2228333333333,1408.011,18,"-0.0555555555555556,s_sr_9,0.444444444444444,H,0.0555555555555556,C,0.111111111111111,N,0.166666666666667,O,0.222222222222222,Sr",s_sr
TAE-PTComp_0219_s_sr_10,TAE-PTComp,0.0022732724507942,1.4265,2.853,2,"-0.5,s_sr_10,1,Sr",s_sr
TAE-PTComp_0220_s_sr_11,TAE-PTComp,0.127936448215697,80.2813333333333,481.688,6,"-0.166666666666667,s_sr_11,0.666666666666667,Cl,0.333333333333333,Sr",s_sr
TAE-PTComp_0221_s_sr_12,TAE-PTComp,0.16475767183334,103.387,1240.644,12,"-0.0833333333333333,s_sr_12,0.666666666666667,F,0.333333333333333,Sr",s_sr
TAE-PTComp_0222_s_sr_13,TAE-PTComp,0.0714682436738642,44.847,538.164,12,"-0.0833333333333333,s_sr_13,0.666666666666667,H,0.333333333333333,Sr",s_sr
TAE-PTComp_0223_s_sr_14,TAE-PTComp,0.150866646501787,94.67025,757.362,8,"-0.125,s_sr_14,0.5,O,0.5,Sr",s_sr
TAE-PTComp_0224_s_sr_15,TAE-PTComp,0.157072200805905,98.5642941176471,1675.593,17,"-0.0588235294117647,s_sr_15,0.294117647058824,H,0.117647058823529,C,0.0588235294117647,N,0.294117647058824,O,0.235294117647059,Sr",s_sr
TAE-PTComp_0225_s_sr_16,TAE-PTComp,0.133575473302848,83.819875,670.559,8,"-0.125,s_sr_16,0.5,S,0.5,Sr",s_sr
TAE-PTComp_0226_s_sr_17,TAE-PTComp,0.1236879550739,77.6153636363636,853.769,11,"-0.0909090909090909,s_sr_17,0.545454545454545,H,0.181818181818182,N,0.181818181818182,Cl,0.0909090909090909,Sr",s_sr
TAE-PTComp_0227_s_sr_18,TAE-PTComp,0.0827137578188141,51.9036666666667,155.711,3,"-0.333333333333333,s_sr_18,0.333333333333333,H,0.333333333333333,Cl,0.333333333333333,Sr",s_sr
TAE-PTComp_0228_s_sr_19,TAE-PTComp,0.175892611286537,110.37428,2759.357,25,"-0.04,s_sr_19,0.48,H,0.48,C,0.04,Sr",s_sr
TAE-PTComp_0229_s_sr_20,TAE-PTComp,0.140770251793496,88.3346666666667,265.004,3,"-0.333333333333333,s_sr_20,0.666666666666667,F,0.333333333333333,Sr",s_sr
TAE-PTComp_0230_s_sr_21,TAE-PTComp,0.13725335048745,86.1277777777778,775.15,9,"-0.111111111111111,s_sr_21,0.444444444444444,H,0.222222222222222,O,0.222222222222222,F,0.111111111111111,Sr",s_sr
TAE-PTComp_0231_s_sr_22,TAE-PTComp,0.104489259063213,65.568,393.408,6,"-0.166666666666667,s_sr_22,0.666666666666667,H,0.166666666666667,C,0.166666666666667,Sr",s_sr
TAE-PTComp_0232_s_sr_23,TAE-PTComp,0.122313514076396,76.7528888888889,690.776,9,"-0.111111111111111,s_sr_23,0.666666666666667,H,0.222222222222222,C,0.111111111111111,Sr",s_sr
TAE-PTComp_0233_s_sr_24,TAE-PTComp,0.122269070302969,76.725,460.35,6,"-0.166666666666667,s_sr_24,0.5,H,0.166666666666667,N,0.166666666666667,O,0.166666666666667,Sr",s_sr
TAE-PTComp_0234_s_sr_25,TAE-PTComp,0.194262211834144,121.901378378378,4510.351,37,"-0.027027027027027,s_sr_25,0.324324324324324,H,0.540540540540541,C,0.108108108108108,N,0.027027027027027,Sr",s_sr
TAE-PTComp_0235_s_sr_26,TAE-PTComp,0.0810250714953944,50.844,101.688,2,"-0.5,s_sr_26,0.5,Cl,0.5,Sr_cation",s_sr
TAE-PTComp_0236_s_sr_27,TAE-PTComp,0.170584313307928,107.043272727273,1177.476,11,"-0.0909090909090909,s_sr_27,0.454545454545455,H,0.454545454545455,C,0.0909090909090909,Sr_cation",s_sr
TAE-PTComp_0237_s_sr_28,TAE-PTComp,0.107527460204075,67.4745,134.949,2,"-0.5,s_sr_28,0.5,F,0.5,Sr_cation",s_sr
TAE-PTComp_0238_s_cs_1,TAE-PTComp,0.0436174025487001,27.3703333333333,82.111,3,"-0.333333333333333,s_cs_1,0.333333333333333,H_anion,0.333333333333333,H,0.333333333333333,Cs",s_cs
TAE-PTComp_0239_s_cs_2,TAE-PTComp,0.0986281257756913,61.8900833333333,742.681,12,"-0.0833333333333333,s_cs_2,0.416666666666667,H,0.0833333333333333,C,0.0833333333333333,N,0.0833333333333333,O_anion,0.0833333333333333,O,0.25,Cs",s_cs
TAE-PTComp_0240_s_cs_3,TAE-PTComp,0.139138199613475,87.3105384615385,1135.037,13,"-0.0769230769230769,s_cs_3,0.230769230769231,H,0.230769230769231,B,0.0769230769230769,C_anion,0.0769230769230769,C,0.153846153846154,N,0.230769230769231,Cs",s_cs
TAE-PTComp_0241_s_cs_4,TAE-PTComp,0.172584759122985,108.298571428571,3790.45,35,"-0.0285714285714286,s_cs_4,0.285714285714286,H,0.342857142857143,C,0.114285714285714,N,0.142857142857143,O,0.0571428571428571,S,0.0571428571428571,Cs",s_cs
TAE-PTComp_0242_s_cs_5,TAE-PTComp,0.157086871313257,98.5735,591.441,6,"-0.166666666666667,s_cs_5,0.166666666666667,C,0.5,O,0.333333333333333,Cs",s_cs
TAE-PTComp_0243_s_cs_6,TAE-PTComp,0.113982741227597,71.52525,286.101,4,"-0.25,s_cs_6,0.5,F,0.5,Cs",s_cs
TAE-PTComp_0244_s_cs_7,TAE-PTComp,0.0701147448528282,43.9976666666667,131.993,3,"-0.333333333333333,s_cs_7,0.333333333333333,O,0.666666666666667,Cs",s_cs
TAE-PTComp_0245_s_cs_8,TAE-PTComp,0.0861967065608973,54.08925,216.357,4,"-0.25,s_cs_8,0.5,S,0.5,Cs",s_cs
TAE-PTComp_0246_s_cs_9,TAE-PTComp,0.157547222928556,98.862375,2372.697,24,"-0.0416666666666667,s_cs_9,0.333333333333333,H,0.333333333333333,C,0.166666666666667,N,0.166666666666667,Cs",s_cs
TAE-PTComp_0247_s_cs_10,TAE-PTComp,0.140497808441833,88.1637058823529,1498.783,17,"-0.0588235294117647,s_cs_10,0.294117647058824,H,0.117647058823529,C,0.0588235294117647,N,0.0588235294117647,O,0.235294117647059,F,0.235294117647059,Cs",s_cs
TAE-PTComp_0248_s_cs_11,TAE-PTComp,0.113300964383972,71.0974285714286,995.364,14,"-0.0714285714285714,s_cs_11,0.428571428571429,H,0.142857142857143,C,0.142857142857143,Cl,0.285714285714286,Cs",s_cs
TAE-PTComp_0249_s_cs_12,TAE-PTComp,0.115612915818232,72.5482,1450.964,20,"-0.05,s_cs_12,0.6,H,0.2,C,0.2,Cs",s_cs
TAE-PTComp_0250_s_cs_13,TAE-PTComp,0.105501096376025,66.2029375,1059.247,16,"-0.0625,s_cs_13,0.5,H,0.25,N,0.25,Cs",s_cs
TAE-PTComp_0251_s_cs_14,TAE-PTComp,0.0165224597054569,10.368,82.944,8,"-0.125,s_cs_14,1,Cs",s_cs
TAE-PTComp_0252_s_cs_15,TAE-PTComp,0.0899994379914669,56.4755,225.902,4,"-0.25,s_cs_15,0.5,Cl,0.5,Cs",s_cs
TAE-PTComp_0253_s_cs_16,TAE-PTComp,0.167943281107183,105.386,1159.246,11,"-0.0909090909090909,s_cs_16,0.454545454545455,H,0.454545454545455,C,0.0909090909090909,Cs",s_cs
TAE-PTComp_0254_s_cs_17,TAE-PTComp,0.0980120660199234,61.5035,123.007,2,"-0.5,s_cs_17,0.5,F,0.5,Cs",s_cs
TAE-PTComp_0255_s_cs_18,TAE-PTComp,0.149243839253184,93.6519230769231,1217.475,13,"-0.0769230769230769,s_cs_18,0.230769230769231,H,0.153846153846154,B,0.153846153846154,C,0.153846153846154,N,0.0769230769230769,O,0.230769230769231,Cs",s_cs
TAE-PTComp_0256_s_cs_19,TAE-PTComp,0.157018346451439,98.5305,1182.366,12,"-0.0833333333333333,s_cs_19,0.25,H,0.0833333333333333,B,0.166666666666667,C,0.166666666666667,N,0.166666666666667,O,0.166666666666667,Cs",s_cs
TAE-PTComp_0257_s_cs_20,TAE-PTComp,0.184738884099052,115.9254,579.627,5,"-0.2,s_cs_20,0.4,H,0.2,C_cation,0.2,C,0.2,Cs",s_cs
TAE-PTComp_0258_s_cs_21,TAE-PTComp,0.168040946109576,105.447285714286,738.131,7,"-0.142857142857143,s_cs_21,0.571428571428571,H,0.142857142857143,C_cation,0.142857142857143,C,0.142857142857143,Cs",s_cs
TAE-PTComp_0259_s_cs_22,TAE-PTComp,0.170426112147027,106.944,320.832,3,"-0.333333333333333,s_cs_22,0.333333333333333,H,0.333333333333333,Cl_cation,0.333333333333333,Cs",s_cs
TAE-PTComp_0260_s_cs_23,TAE-PTComp,0.196682037812313,123.419842105263,2344.977,19,"-0.0526315789473684,s_cs_23,0.421052631578947,H,0.0526315789473684,C_cation,0.473684210526316,C,0.0526315789473684,Cs",s_cs
TAE-PTComp_0261_s_cs_24,TAE-PTComp,0.189050532148732,118.631,1423.572,12,"-0.0833333333333333,s_cs_24,0.416666666666667,H,0.0833333333333333,C_cation,0.333333333333333,C,0.0833333333333333,N,0.0833333333333333,Cs",s_cs
TAE-PTComp_0262_s_cs_25,TAE-PTComp,0.111719796539966,70.1052307692308,911.368,13,"-0.0769230769230769,s_cs_25,0.615384615384615,H,0.0769230769230769,S_cation,0.230769230769231,S,0.0769230769230769,Cs",s_cs
TAE-PTComp_0263_s_cs_26,TAE-PTComp,0.163065267106566,102.325,716.275,7,"-0.142857142857143,s_cs_26,0.428571428571429,H,0.285714285714286,O,0.142857142857143,Cs",s_cs
